# #######################################################
# LOS LOG
# LOS Statistics
# #######################################################
# 
# Parameters [Units]:
# LOS exit time [s], LOS start time [s],Time of min distance [s],ACID1 [-],ACID2 [-],LAT1 [deg],LON1 [deg],ALT1 [ft],LAT2 [deg],LON2 [deg],ALT2 [ft],DIST [m]
# 
# simt
1366.00000000,1360.00000000,1363.35000000,D1416,D750,48.18068574,16.40221826,64.00800000,48.18065273,16.40229955,57.42739000,7.05693799
1369.00000000,1368.00000000,1368.95000000,D1507,D258,48.21053186,16.39462155,16.58878000,48.21029472,16.39477094,26.70739000,28.59782334
1371.50000000,1371.00000000,1371.00000000,D1607,D866,48.20000926,16.42647048,109.72800000,48.19999178,16.42644496,117.29139000,2.71169773
1372.50000000,1366.50000000,1369.20000000,D1395,D1386,48.23397546,16.42349170,36.57600000,48.23395351,16.42322099,36.57600000,20.19811299
1374.00000000,1372.00000000,1372.00000000,D1607,D866,48.20007589,16.42656776,109.55274000,48.20001279,16.42647562,114.79139000,9.79139956
1378.00000000,1370.00000000,1373.70000000,D1531,D1540,48.20833093,16.42876087,109.72800000,48.20841801,16.42907149,109.72800000,24.97133077
1383.00000000,1381.50000000,1381.50000000,D730,D1131,48.20583432,16.35712370,9.35355000,48.20565934,16.35735229,16.84159000,25.79841750
1392.50000000,1390.50000000,1391.60000000,D1607,D866,48.20138188,16.42847454,103.78831000,48.20138201,16.42847473,109.79139000,0.02064030
1396.00000000,1395.00000000,1395.00000000,D1518,D990,48.20608776,16.33888335,27.42819000,48.20607094,16.33921466,34.79139000,24.62316315
1396.50000000,1396.00000000,1396.00000000,D1457,D1219,48.20593848,16.34137112,117.29139000,48.20593607,16.34140847,109.72800000,2.78090220
1398.50000000,1397.00000000,1397.00000000,D1457,D1219,48.20593563,16.34141489,114.79139000,48.20592202,16.34161670,109.55274000,15.03212314
1398.50000000,1396.50000000,1396.95000000,D990,D1518,48.20608433,16.33895085,26.42235000,48.20606707,16.33929087,32.36378000,25.27059638
1401.00000000,1400.50000000,1400.95000000,D1648,D1818,48.19791137,16.35439125,17.48790000,48.19769410,16.35423027,25.21323000,26.94563663
1403.50000000,1401.50000000,1403.45000000,D1648,D1818,48.19785106,16.35425616,14.36370000,48.19771564,16.35431070,22.78562000,15.59136222
1404.50000000,1404.00000000,1404.00000000,D890,D1632,48.18828311,16.38954372,82.29219000,48.18829530,16.38925510,89.79139000,21.43813995
1407.00000000,1405.00000000,1405.00000000,D1617,D1387,48.19409957,16.29955629,24.20739000,48.19428826,16.29956681,18.28800000,20.99560454
1407.00000000,1405.50000000,1406.95000000,D730,D1131,48.20629772,16.35650240,5.91939000,48.20610859,16.35675426,15.16519000,28.11782383
1407.00000000,1405.00000000,1405.00000000,D1632,D890,48.18828019,16.38961297,82.08264000,48.18829384,16.38928973,87.29139000,24.01035994
